╔═════════════════════════════════╗        ╔═════════════════════════════════╗
║.................................║        ║.................................║
║.................................║        ║.................................║
║.................................║        ║.................................║
║.................................║        ║.................................║
║.................................╬XXXXXXXX╬.................................║
║.................................║        ║.................................║
║.................................║        ║.................................║
║.................................║        ║.................................║
║.................................║        ║.................................║
║.................................║        ║.................................║
╚═════════════════════════════════╝        ╚═════════════════════════════════╝
